ID,Sektor,Total_Kons,ZA,NPK,SP36,UREA,ORGANIK
1,Padi,252677.058,6112.26,83439.16335,26697.27059,121132.3096,15296.0544
2,Tanaman Bahan Makanan lainnya,18412.85728,524.4942857,7427.511843,2162.870588,7153.371366,1144.6092
3,Kopi,8716.163394,308.5620671,3114.361164,1268.181276,3638.101709,386.9571772
4,Karet,42666.55951,1510.444585,15245.13366,6207.884071,17808.90009,1894.197101
5,Kelapa Sawit,8989.371284,318.2339362,3211.980725,1307.932382,3752.137902,399.0863387
6,Tanaman Perkebunan lainnya,3662.900762,129.6708402,1308.786374,532.943447,1528.884318,162.6157835
7,Peternakan dan Hasil-hasilnya,6450.87573,96.33428571,803.0628824,606.4941176,3028.483244,1916.5012
8,Kehutanan,0,0,0,0,0,0
9,Perikanan,4874.235286,0,0,1216.423529,3657.811756,0
10,Pertambangan Migas,0,0,0,0,0,0
11,Pertambangan Non Migas,0,0,0,0,0,0
12,Penggalian,0,0,0,0,0,0
13,Industri Penggilingan Padi,0,0,0,0,0,0
14,Industri Minyak Hewani dan Nabati,0,0,0,0,0,0
15,Industri Makanan dan Minuman lainnya,0,0,0,0,0,0
16,Industri Tekstil dan Pakain Jadi,0,0,0,0,0,0
17,"Industri Kayu,barang-barang dari kayu dan Furniture",0,0,0,0,0,0
18,Industri Karet dan barang-barang dari karet,0,0,0,0,0,0
19,Industri Kimia dan barang-barang dr kimia,0,0,0,0,0,0
20,Industri Bubur Kertas (Pulp) dan barang2 dari kertas,0,0,0,0,0,0
21,Industri Barang Galian Bukan Logam,0,0,0,0,0,0
22,"Industri Barang dari logam, bukan mesin dan perlatan",0,0,0,0,0,0
23,Industri Kendaraan bermotor dan alat angkutan,0,0,0,0,0,0
24,Industri Migas,0,0,0,0,0,0
25,Industri barang-barang lainnya,0,0,0,0,0,0
26,"Listrik,  Gas dan Air bersih",0,0,0,0,0,0
27,Bangunan,0,0,0,0,0,0
28,Perdagangan,0,0,0,0,0,0
29,Hotel dan Restoran,0,0,0,0,0,0
30,Angkutan jalan raya,0,0,0,0,0,0
31,"Angkutan sungai, danau dan penyeberangan",0,0,0,0,0,0
32,Angkutan udara,0,0,0,0,0,0
33,Jasa penunjang angkutan,0,0,0,0,0,0
34,Komunikasi,0,0,0,0,0,0
35,Bank dan lembaga keuangan lainnya,0,0,0,0,0,0
36,Real Estate dan Jasa Perusahaan,0,0,0,0,0,0
37,Pemerintahan umum,0,0,0,0,0,0
38,Jasa Pendidikan,0,0,0,0,0,0
39,Jasa Kesehatan dan Kegiatan Sosial,0,0,0,0,0,0
40,Jasa-jasa lainnya,0,0,0,0,0,0
41,Kegiatan yang tak jelas batasannya,0,0,0,0,0,0
