"Sektor","Kategori","y2016","y2017","y2018","y2019","y2020","y2021","y2022","y2023","y2024","y2025","y2026","y2027","y2028","y2029","y2030"
"Tanaman Pangan","Lahan",65844002.9974876,69136266.7034063,72593143.6023819,76222912.5080147,80035353.3136544,84038253.3829353,88241471.8545477,92655219.5817866,97289283.4779044,102155447.060342,107264918.838175,112629864.18488,118263056.798207,124177909.040537,130387249.385879
"Tanaman Hortikultura","Lahan",25217425.5718212,26478337.3321983,27802294.6752168,29192451.7994711,30652201.0999928,32185257.7284696,33794968.0015178,35485180.9205676,37259891.7526471,39123351.7358792,41079984.7251043,43134449.3663364,45291637.2367281,47556684.4956784,49934892.1157784
"Perkebunan","Lahan",10687656.3843078,11222068.9023092,11783202.0517497,12372395.9625901,12991425.3338797,13641464.6705373,14323977.1856709,15040665.8145727,15793171.0815696,16583320.7048651,17412977.8156912,18284117.7761575,19198814.7394098,20159246.5448219,21167282.5690595
"Peternakan","Lahan",17796883.7805359,18686710.210945,19621027.9639474,20602086.4375547,21632376.33437,22713933.7109015,23849658.4597141,25042331.7954878,26294420.2354145,27609346.1020947,28990018.264324,30439724.0278973,31961915.0848628,33560215.6985589,35238272.6206253
"Jasa Pertanian dan Perburuan ","Jasa",2116339.42059013,2231180.25021807,2351763.11900847,2478377.00298789,2611355.58372712,2750976.78035577,2897584.63385179,3051536.4384343,3213170.63061875,3382902.74499501,3561121.46983949,3748251.12983602,3944737.27863707,4151047.73615599,4367638.49881534
"Kehutanan dan Penebangan Kayu","Lahan",1306983.20058801,1372340.27529929,1440965.19488448,1513022.45685341,1588766.73014662,1668282.02523188,1751788.81507436,1839482.56054784,1931557.09499177,2028239.61883917,2129756.28057074,2236348.76319502,2348270.88057514,2465789.09375109,2589089.88303779
"Perikanan","Lahan",15263434.6924397,16026784.6497733,16828302.0946397,17669929.1829872,18553781.8670062,19481625.9447506,20455984.5982061,21479275.6229069,22553427.8677566,23681611.0183496,24866203.3213283,26110025.2437795,27416038.2544458,28787351.9234944,30227126.7789311
"Pertambangan Minyak Gas dan Panas Bumi","Lahan",18279451.9205512,19193481.2664369,20153212.0712247,21160939.8873917,22219796.7140598,23331618.1162904,24499110.3043008,25725086.6530697,27012315.0741953,28363955.5021974,29783177.9521645,31273361.5209158,32838054.2708078,34480981.6575998,36205233.5568691
"Pertambangan Bijih Logam","Lahan",942677.481272822,989829.476647016,1039339.06280969,1091326.16041804,1146129.48854942,1203718.58357164,1264160.00697767,1327650.82826766,1394308.4389743,1464307.23470207,1537805.96576312,1614979.63040902,1696011.98561938,1781095.95548447,1870192.69841961
"Pertambangan dan Penggalian Lainnya","Lahan",8180185.36298585,8589478.52582419,9019236.34500353,9470503.30863808,9948299.6799538,10450503.2360735,10977089.5972583,11530415.4183747,12111397.6020481,12721439.6752279,13361983.8620562,14034555.2581489,14740755.2241387,15482265.1870721,16256409.9519266
