"sector","y2016","y2017","y2018","y2019","y2020","y2021","y2022","y2023","y2024","y2025","y2026","y2027","y2028","y2029","y2030"
"Tanaman Pangan","297241.584950389","310545.161448389","324444.146327095","338965.187934692","354141.31395582","369998.422889713","386565.192511659","403873.384965258","421956.183942114","440848.258310662","460585.828686124","481206.736815945","502750.518124553","525258.477538698","548768.48869084"
"Tanaman Hortikultura","203808.549188605","212933.392446313","222466.779798966","232427.004192482","242833.858364547","253709.310830198","265071.675598729","276942.754809719","289345.326834426","302303.190040072","315841.208539143","329985.359752342","344762.784347663","360201.838371444","376331.454337098"
"Perkebunan","100940.53887476","105459.825972388","110181.444523967","115114.453505438","120271.927916363","125660.905411684","131291.132465643","137173.411080532","143319.026520571","149739.769670302","156447.959321321","163456.46573619","170778.735652354","178428.817724629","186417.714054621"
"Peternakan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jasa Pertanian dan Perburuan ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kehutanan dan Penebangan Kayu","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Perikanan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pertambangan Minyak Gas dan Panas Bumi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pertambangan Bijih Logam","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pertambangan dan Penggalian Lainnya","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Batubara dan Pengilangan Migas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Makanan dan Minuman","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pengolahan Tembakau","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Tekstil dan Pakaian Jadi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Kulit Barang dari Kulit dan Alas Kaki","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Kimia Farmasi dan Obat Tradisional","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Karet Barang dari Karet dan Plastik","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Barang Galian bukan Logam","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Logam Dasar","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Mesin dan Perlengkapan YTDL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Alat Angkutan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Furnitur","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ketenagalistrikan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pengadaan Gas dan Produksi Es","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Konstruksi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
