"Sektor","Kategori","y2016","y2017","y2018","y2019","y2020","y2021","y2022","y2023","y2024","y2025","y2026","y2027","y2028","y2029","y2030"
"Tanaman Pangan","Lahan",68446249.9696245,69136056.9740533,72592843.0458826,76222511.0131763,80033725.9524867,84035181.8332577,88237105.9236599,92649380.8343799,97281898.2762007,102146438.080343,109856575.087336,112617360.018285,118248672.903091,124161551.430798,130370073.89584
"Tanaman Hortikultura","Lahan",25384585.9684214,26478321.9503419,27802272.6319652,29192422.3532545,30652081.7469533,32185032.4565403,33794647.7977843,35484752.6983244,37259350.1111922,39122691.0041578,41246368.3826507,43133532.2925368,45290582.3008995,47555484.8047433,49933632.4403101
"Perkebunan","Lahan",11401722.9498091,11221999.1263858,11783102.0580818,12372262.3872336,12990883.9188294,13640442.7810783,14322524.6619544,15038723.2920498,15790714.061314,16580323.461563,18123520.8997638,18279957.701479,19194029.2883047,20153804.448577,21161568.3680642
"Peternakan","Lahan",18137312.9359456,18686683.6764634,19620989.9382214,20602035.6413392,21632170.4443294,22713545.1054092,23849106.0920494,25041593.0904206,26293485.8764604,27608206.3063968,29329107.5055085,30438142.0291259,31960095.2671061,33558146.1709089,35236099.6166163
"Jasa Pertanian dan Perburuan ","Jasa",2185222.54885108,2231174.36407959,2351754.68376969,2478365.7348741,2611309.91118277,2750890.57608124,2897462.10224907,3051372.57164483,3212963.36196874,3382649.90435538,3629707.36520884,3747900.19538173,3944333.58884737,4150588.65327324,4367156.46179366
"Kehutanan dan Penebangan Kayu","Lahan",1485098.85448429,1372324.67043065,1440942.83204102,1512992.58371393,1588645.64667932,1668053.48722058,1751463.96889985,1839048.1297683,1931007.60060374,2027569.30756666,2307083.933938,2235418.39329494,2347200.64986764,2464572.00921997,2587811.94429393
"Perikanan","Lahan",15477571.2679319,16026767.1805246,16828277.0600122,17669895.7407766,18553646.3171818,19481370.1023305,20455620.9412767,21478789.2888334,22552812.7229356,23680860.6221368,25079457.7505192,26108983.7186281,27414840.1587212,28785989.4286949,30225696.1594071
"Pertambangan Minyak Gas dan Panas Bumi","Lahan",57176535.9835401,19193343.8694434,20153015.171941,21160676.8618166,22218730.6041971,23329605.8958504,24496250.1143985,25721261.5979316,27007476.9125564,28358053.5778914,68673323.8641117,31265169.8449704,32828631.1551827,34470265.5305238,36193981.6235609
"Pertambangan Bijih Logam","Lahan",1328392.37268201,989789.115318,1039281.22226624,1091248.89481339,1145816.31131133,1203127.47972588,1263319.80616407,1326527.19153415,1392887.19511144,1462573.50310626,1921482.72731449,1612573.26823412,1693243.87941482,1777948.01811131,1866887.36421351
"Pertambangan dan Penggalian Lainnya","Lahan",15061933.7527033,8588736.13582196,9018172.44938288,9469082.11627882,9942539.22418704,10439630.7104142,10961635.2824701,11509747.6976274,12085255.8158324,12689550.1157248,20206243.7133004,13990293.6031454,14689839.7953985,15424363.2970586,16195612.9680695
