"Sektor","Kategori","y2016","y2017","y2018","y2019","y2020","y2021","y2022","y2023","y2024","y2025","y2026","y2027","y2028","y2029","y2030"
"Tanaman Pangan","Lahan",242511.320099236,244955.36936902,257203.078395475,270063.323780152,283566.806681323,297744.330627416,312632.131764402,328265.225085283,344678.657825532,361914.16700392,389231.887179119,399013.600544157,418965.856835658,439915.725936991,461913.088532181
"Tanaman Hortikultura","Lahan",197774.180136729,206295.600867383,216610.650359434,227441.464056271,238813.83547201,250757.227818678,263297.922980933,276465.72140259,290291.810543429,304809.310174108,321355.120806153,336058.228255912,352864.048821533,370510.160376969,389038.57756106
"Perkebunan","Lahan",78972.0177941348,77727.1925125614,81613.5727466102,85694.2875826214,89979.0602276046,94478.1148225698,99202.4343548653,104163.057517611,109371.588603024,114840.678483684,125529.362648869,126612.894492529,132944.049699307,139591.762625594,146571.861206516
"Peternakan","Lahan",3938.61257856869,4057.91131463518,4260.80081694414,4473.84003394925,4697.53920631328,4932.36538245723,5178.95840323757,5437.91320586746,5709.76828669058,5995.26671972397,6368.96943595501,6609.80209624006,6940.30221984009,7287.32735047213,7651.70373692229
"Jasa Pertanian dan Perburuan ","Jasa",594.962736717741,607.473873288191,640.303846159759,674.775784728853,710.972020672362,748.975149655513,788.881655461777,830.786309122503,874.782056324563,920.982005018856,988.247457278255,1020.42739690823,1073.90961519328,1130.06594474297,1189.03008828525
"Kehutanan dan Penebangan Kayu","Lahan",405.140681275466,374.375449978022,393.094748466976,412.750197927699,433.388644572396,455.051408985927,477.806109301676,501.699405358058,526.786302807007,553.128707978187,629.381373457394,609.830738243828,640.325367908126,672.344726314234,705.965054755969
"Perikanan","Lahan",4218.59067952717,4368.28036390925,4586.74113198601,4816.13401675633,5057.01043593805,5309.87226066847,5575.41557089153,5854.29191265536,6147.02939518821,6454.49186919344,6835.69565808711,7116.30484270731,7472.23108666466,7845.95364496656,8238.36233043124
"Pertambangan Minyak Gas dan Panas Bumi","Lahan",838046.857843857,281320.322132391,295386.398465741,310155.87861076,325663.964208796,341946.264834605,359045.980736551,377001.196227275,395853.487370661,415649.134504426,1006557.36294658,458259.264885772,481175.20086974,505236.933647309,530501.753048059
"Pertambangan Bijih Logam","Lahan",18906.8297984769,14087.5352226838,14791.9497177393,15531.598604678,16308.2492972637,17123.9514414864,17980.6607199682,18880.2829263093,19824.7759231555,20816.6117629551,27348.2049680096,22951.5382255017,24099.7121737255,25305.2947760462,26571.1565151851
"Pertambangan dan Penggalian Lainnya","Lahan",632350.929970916,360584.196686369,378613.385813217,397544.098952448,417421.429938143,438291.012075293,460206.529830734,483218.143156354,507379.920769232,532750.239666336,848326.464125579,587359.851382119,616729.166935609,647566.948258134,679946.618406133
