sektor;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030
Tanaman Pangan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tanaman Hortikultura;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Perkebunan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Peternakan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jasa Pertanian dan Perburuan ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kehutanan dan Penebangan Kayu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Perikanan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pertambangan Minyak Gas dan Panas Bumi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pertambangan Bijih Logam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pertambangan dan Penggalian Lainnya;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Industri Batubara dan Pengilangan Migas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Industri Makanan dan Minuman;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pengolahan Tembakau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Industri Tekstil dan Pakaian Jadi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Industri Kulit Barang dari Kulit dan Alas Kaki;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Industri Kimia Farmasi dan Obat Tradisional;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Industri Karet Barang dari Karet dan Plastik;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Industri Barang Galian bukan Logam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Industri Logam Dasar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Industri Mesin dan Perlengkapan YTDL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Industri Alat Angkutan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Industri Furnitur;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ketenagalistrikan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pengadaan Gas dan Produksi Es;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Konstruksi;13200;13200;13200;15000;2.14296;35002.40197;1.99398;2.13;1.2;0.650995;0.650995;0.650995;0.650995;0.650995;0.650995
Perdagangan Mobil Sepeda Motor dan Reparasinya;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angkutan Rel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angkutan Darat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angkutan Laut;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angkutan Sungai Danau dan Penyeberangan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angkutan Udara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penyediaan Akomodasi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penyediaan Makan Minum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Informasi dan Komunikasi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jasa Perantara Keuangan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Asuransi dan Dana Pensiun;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jasa Keuangan Lainnya;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jasa Penunjang Keuangan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Real Estate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jasa Perusahaan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib;115576.3339;115576.3339;115576.3339;117000;120000;24390.48722;18663.496;18263.496;11853.98322;11853.98322;11853.98322;11853.98322;11853.98322;11853.98322;11853.98322
Jasa Pendidikan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jasa Kesehatan dan Kegiatan Sosial;44452.43611;44452.43611;44452.43611;46000;50000;35717.4787;26426.992;26226.992;11853.98348;11853.98348;11853.98348;11853.98348;11853.98348;11853.98348;11853.98348
Jasa lainnya;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lainnya;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
