ID;Sektor;Padat_Ditimbun_di_TPA;Padat_Ditimbun_Lubang;Padat_Kompos;Padat_3R;Padat_ins_sampah_domestik;Padat_ins_sampah_industri;Padat_dibakar_terbuka;Padat_tidak_terkelola;Cair_septic_tank;Cair_MCK_plus;Cair_IPAL_Aerob;Cair_IPAL_Anaerob;Cair_tidak_terkelola;Cair_Biogas;Cair_Pengolahan_KIMIA;Cair_3R
1;Tanaman Pangan;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
2;Tanaman Hortikultura;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
3;Perkebunan;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
4;Peternakan;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
5;Jasa Pertanian, dan Perburuan ;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
6;Kehutanan dan Penebangan Kayu;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
7;Perikanan;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
8;Pertambangan Minyak, Gas dan Panas Bumi;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
9;Pertambangan Bijih Logam;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
10;Pertambangan dan Penggalian Lainnya;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
11;Industri Batubara dan Pengilangan Migas;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
12;Industri Makanan dan Minuman;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
13;Pengolahan Tembakau;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
14;Industri Tekstil dan Pakaian Jadi;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
15;Industri Kulit, Barang dari Kulit dan Alas Kaki;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
16;Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
17;Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
18;Industri Kimia, Farmasi dan Obat Tradisional;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
