sektor;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030
Tanaman Pangan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tanaman Hortikultura;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Perkebunan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Peternakan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jasa Pertanian dan Perburuan ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kehutanan dan Penebangan Kayu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Perikanan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pertambangan Minyak Gas dan Panas Bumi;990.1119;0;0;0;0;1746.427617;1041.91008;2277.505848;552.457281;1018.124118;304.120512;552.457281;297.6885945;297.6885945;335.6733195
Pertambangan Bijih Logam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pertambangan dan Penggalian Lainnya;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Industri Batubara dan Pengilangan Migas;990.1119;0;0;0;0;1746.427617;1041.91008;2277.505848;552.457281;1018.124118;304.120512;552.457281;297.6885945;297.6885945;335.6733195
Industri Makanan dan Minuman;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pengolahan Tembakau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Industri Tekstil dan Pakaian Jadi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Industri Kulit Barang dari Kulit dan Alas Kaki;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Industri Kimia Farmasi dan Obat Tradisional;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Industri Karet Barang dari Karet dan Plastik;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Industri Barang Galian bukan Logam;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Industri Logam Dasar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Industri Mesin dan Perlengkapan YTDL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Industri Alat Angkutan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Industri Furnitur;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ketenagalistrikan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pengadaan Gas dan Produksi Es;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Konstruksi;660.0746;0;0;0;0;1164.285078;694.60672;1518.337232;368.304854;678.749412;202.747008;368.304854;198.459063;198.459063;223.782213
Perdagangan Mobil Sepeda Motor dan Reparasinya;2640.2984;0;0;0;0;4657.140312;2778.42688;6073.348928;1473.219416;2714.997648;810.988032;1473.219416;793.836252;793.836252;895.128852
Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angkutan Rel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angkutan Darat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angkutan Laut;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angkutan Sungai Danau dan Penyeberangan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angkutan Udara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penyediaan Akomodasi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penyediaan Makan Minum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Informasi dan Komunikasi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jasa Perantara Keuangan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Asuransi dan Dana Pensiun;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jasa Keuangan Lainnya;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jasa Penunjang Keuangan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Real Estate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jasa Perusahaan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jasa Pendidikan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jasa Kesehatan dan Kegiatan Sosial;1320.1492;0;0;0;0;2328.570156;1389.21344;3036.674464;736.609708;1357.498824;405.494016;736.609708;396.918126;396.918126;447.564426
Jasa lainnya;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lainnya;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
