tupla,t0,t1,t2,,,LDMProp,hutan,sawah,pemukiman,,,LDMProp,hutan,sawah,pemukiman,,,LDMProp,hutan,sawah,pemukiman,
hutan,30,25,27.47272727,,,kehutanan,0.5,0,0,,,kehutanan,0.5,0,0,,,kehutanan,0.5,0,0,
sawah,40,42,42,,,industri,0,0,0.2,,,industri,0,0,0.2,,,industri,0,0,0.2,
pemukiman,50,53,50.52727273,,,padi ,0,1,0,,,padi ,0,1,0,,,padi ,0,1,0,
,120,120,120,,,jasa,0.5,0,0.8,,,jasa,0.5,0,0.8,,,jasa,0.5,0,0.8,
,,,,,,,,,,,,,,,,,,,,,,
Output,t0,t1,t2,,,LDMLuas,hutan,sawah,pemukiman,,,LDMLuas,hutan,sawah,pemukiman,,,LDMLuas,hutan,sawah,pemukiman,
kehutanan,200,300,400,,,kehutanan,15,0,0,15,,kehutanan,12.5,0,0,12.5,,kehutanan,13.73636364,0,0,13.73636364
industri,3000,4000,5000,,,industri,0,0,10,10,,industri,0,0,10.6,10.6,,industri,0,0,10.10545455,10.10545455
padi,1000,2000,3000,,,padi ,0,40,0,40,,padi ,0,42,0,42,,padi ,0,42,0,42
jasa,700,900,1100,,,jasa,15,0,40,55,,jasa,12.5,0,42.4,54.9,,jasa,13.73636364,0,40.42181818,54.15818182
,,,,,,,30,40,50,,,,25,42,53,,,,27.47272727,42,50.52727273,
LandReq,t0,t1,t2,,,LDMpropSektor,hutan,sawah,pemukiman,,,LDMpropSektor,hutan,sawah,pemukiman,,,LDMpropSektor,hutan,sawah,pemukiman,
kehutanan,15,12.5,13.73636364,,,kehutanan,1,0,0,1,,kehutanan,1,0,0,1,,kehutanan,0.915757576,0,0,0.915757576
industri,10,10.6,10.10545455,,,industri,0,0,1,1,,industri,0,0,1,1,,industri,0,0,1.010545455,1.010545455
padi,40,42,42,,,padi ,0,1,0,1,,padi ,0,1,0,1,,padi ,0,1.05,0,1.05
jasa,55,54.9,54.15818182,,,jasa,0.272727273,0,0.727272727,1,,jasa,0.272727273,0,0.727272727,1,,jasa,0.249752066,0,0.734942149,0.984694215
,,,,,,,,,,,,,,,,,,,,,,
LRC,t0,t1,t2,,,LDMLuas,hutan,sawah,pemukiman,,,LDMLuas,hutan,sawah,pemukiman,,,,,,,
kehutanan,0.075,0.041666667,0.034340909,,,kehutanan,15,0,0,,,kehutanan,12.5,0,0,12.5,,,,,,
industri,0.003333333,0.00265,0.002021091,,,industri,0,0,10,,,industri,0,0,10.6,10.6,,,,,,
padi,0.04,0.021,0.014,,,padi ,0,40,0,,,padi ,0,42,0,42,,,,,,
jasa,0.078571429,0.061,0.049234711,,,jasa,15,0,40,,,jasa,14.97272727,0,39.92727273,54.9,,,,,,
,,,,,,,30,40,50,,,,27.47272727,42,50.52727273,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,LDMProporsi,hutan,sawah,pemukiman,,,,,,,
,,,,,,,,,,,,kehutanan,0.454996691,0,0,,,,,,,
,,,,,,,,,,,,industri,0,0,0.209787693,,,,,,,
,,,,,,,,,,,,padi ,0,1,0,,,,,,,
,,,,,,,,,,,,jasa,0.545003309,0,0.790212307,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,LDMLuas,hutan,sawah,pemukiman,,,,,,,
,,,,,,,,,,,,kehutanan,12.5,0,0,12.5,,,,,,
,,,,,,,,,,,,industri,0,0,10.6,10.6,,,,,,
,,,,,,,,,,,,padi ,0,42,0,42,,,,,,
,,,,,,,,,,,,jasa,14.97272727,0,39.92727273,,,,,,,
,,,,,,,,,,,,,27.47272727,42,50.52727273,,,,,,,
